DATA_YEAR_x,ARRESTEE_ID,INCIDENT_ID,ARRESTEE_SEQ_NUM,ARREST_DATE,SEASON,ARREST_TYPE_ID,MULTIPLE_INDICATOR,OFFENSE_TYPE_ID_x,AGE_ID,AGE_NUM,SEX_CODE,RACE_ID,ETHNICITY_ID,RESIDENT_CODE,UNDER_18_DISPOSITION_CODE,CLEARANCE_IND,AGE_RANGE_LOW_NUM,AGE_RANGE_HIGH_NUM,ARREST_TYPE_CODE,ARREST_TYPE_NAME,OFFENSE_CODE,OFFENSE_NAME,CRIME_AGAINST,CT_FLAG,HC_FLAG,HC_CODE,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,DATA_YEAR_y,OFFENSE_ID,OFFENSE_TYPE_ID_y,ATTEMPT_COMPLETE_FLAG,LOCATION_ID,NUM_PREMISES_ENTERED,METHOD_ENTRY_CODE,LOCATION_NAME
2019,34055992,113384232,1,2019-04-10,spring,2,N,16,5,15,M,1,1,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,138485930,35,C,41,,,School-Elementary/Secondary
2019,34055992,113384232,1,2019-04-10,spring,2,N,16,5,15,M,1,1,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,138485929,16,C,41,,,School-Elementary/Secondary
2019,34056001,113384279,1,2019-04-11,spring,2,N,16,5,15,M,2,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,138485985,16,C,41,,,School-Elementary/Secondary
2019,34056040,113384385,1,2019-04-12,spring,2,N,16,5,15,F,2,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,138486114,16,C,41,,,School-Elementary/Secondary
2019,34056070,113384506,1,2019-04-23,spring,2,N,16,5,18,F,2,2,R,,,18,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,138501262,16,C,41,,,School-Elementary/Secondary
2019,34056128,113384735,1,2019-04-24,spring,2,N,16,5,17,M,2,2,R,H,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,138501529,16,C,41,,,School-Elementary/Secondary
2019,34056129,113384736,1,2019-04-24,spring,2,N,16,5,18,F,2,2,R,,,18,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,138501530,16,C,41,,,School-Elementary/Secondary
2019,34056130,113384736,2,2019-04-24,spring,2,N,16,5,17,F,1,2,R,H,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,138501530,16,C,41,,,School-Elementary/Secondary
2019,37098349,121201897,1,2019-12-13,autumn,2,N,16,5,14,M,1,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,146745145,16,C,41,,,School-Elementary/Secondary
2019,37098350,121201897,2,2019-12-13,autumn,2,N,16,5,15,M,1,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,146745145,16,C,41,,,School-Elementary/Secondary
