ARRESTEE_ID,INCIDENT_ID,ARRESTEE_SEQ_NUM,SEASON,ARREST_TYPE_ID,MULTIPLE_INDICATOR,AGE_ID,AGE_NUM,SEX_CODE,RACE_ID,ETHNICITY_ID,RESIDENT_CODE,UNDER_18_DISPOSITION_CODE,CLEARANCE_IND,AGE_RANGE_LOW_NUM,AGE_RANGE_HIGH_NUM,ARREST_TYPE_CODE,ARREST_TYPE_NAME,OFFENSE_CODE,OFFENSE_NAME,CRIME_AGAINST,CT_FLAG,HC_FLAG,HC_CODE,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,OFFENSE_ID,ATTEMPT_COMPLETE_FLAG,LOCATION_ID,NUM_PREMISES_ENTERED,METHOD_ENTRY_CODE,LOCATION_NAME
31971375,107364795,1,winter,2,N,5,14,F,2,3,R,H,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,131748570,C,41,,,School-Elementary/Secondary
34056240,113385140,1,spring,2,N,5,16,F,1,1,R,H,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138501999,C,41,,,School-Elementary/Secondary
34056310,113385382,1,spring,2,N,5,14,M,2,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138502296,C,41,,,School-Elementary/Secondary
34056349,113385522,1,spring,2,N,5,17,F,2,2,R,R,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138502466,C,41,,,School-Elementary/Secondary
34056363,113385563,1,spring,2,N,5,10,M,2,2,R,R,,10,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138502517,C,41,,,School-Elementary/Secondary
31975203,107372606,1,winter,2,N,5,16,M,2,2,R,H,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,131752350,C,41,,,School-Elementary/Secondary
34055991,113384226,2,spring,2,N,5,14,M,1,1,R,H,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138485921,C,41,,,School-Elementary/Secondary
34055990,113384226,1,spring,2,N,5,15,M,2,2,R,H,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138485921,C,41,,,School-Elementary/Secondary
34055992,113384232,1,spring,2,N,5,15,M,1,1,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138485930,C,41,,,School-Elementary/Secondary
34055992,113384232,1,spring,2,N,5,15,M,1,1,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138485929,C,41,,,School-Elementary/Secondary
34056001,113384279,1,spring,2,N,5,15,M,2,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138485985,C,41,,,School-Elementary/Secondary
34056040,113384385,1,spring,2,N,5,15,F,2,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138486114,C,41,,,School-Elementary/Secondary
34056070,113384506,1,spring,2,N,5,18,F,2,2,R,,,18,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138501262,C,41,,,School-Elementary/Secondary
